From,To,Datetime,Duration(seconds),Cell Tower
399,3,20060601 1310,859,20
94,1,20060601 1311,1524,6
399,90,20060601 1311,1587,24
87,35,20060601 1312,836,11
117,377,20060601 1312,828,11
142,81,20060601 1314,1061,29
164,55,20060601 1314,795,30
303,131,20060601 1314,789,26
277,9,20060601 1315,701,28
144,149,20060601 1316,1530,16
349,23,20060601 1316,1195,1
72,15,20060601 1317,1391,17
230,8,20060601 1317,731,28
20,223,20060601 1318,1418,30
327,112,20060601 1318,826,25
182,38,20060601 1319,1542,28
247,239,20060601 1319,779,22
168,2,20060601 1320,706,22
276,360,20060601 1322,1149,29
243,19,20060601 1326,1320,1
380,363,20060601 1326,447,29
281,1,20060601 1327,702,28
313,162,20060601 1331,725,28
350,382,20060601 1331,1384,24
44,74,20060601 1333,1161,21
103,274,20060601 1335,1423,18
121,8,20060601 1335,1166,28
237,206,20060601 1335,894,20
52,253,20060601 1336,1092,18
110,117,20060601 1336,531,30
311,37,20060601 1336,747,25
345,283,20060601 1336,1118,1
55,38,20060601 1337,1183,20
326,5,20060601 1338,1102,18
376,20,20060601 1339,773,13
48,2,20060601 1340,938,28
88,53,20060601 1342,987,29
117,12,20060601 1344,1205,28
144,149,20060601 1344,1278,16
320,243,20060601 1344,1417,29
113,5,20060601 1345,1178,30
338,332,20060601 1345,638,15
95,19,20060601 1349,1489,27
273,162,20060601 1349,1208,29
336,248,20060601 1349,1128,30
336,6,20060601 1350,1015,30
357,341,20060601 1350,828,25
91,13,20060601 1351,582,30
188,29,20060601 1351,147,28
365,62,20060601 1354,1054,21
366,30,20060601 1354,1443,7
99,56,20060601 1355,1450,28
381,199,20060601 1355,986,29
162,17,20060601 1356,1354,30
207,162,20060601 1356,1265,30
369,320,20060601 1356,1682,22
53,233,20060601 1401,1663,28
235,158,20060601 1402,1065,23
23,39,20060601 1404,1009,11
66,14,20060601 1404,1496,28
118,359,20060601 1404,1438,30
248,0,20060601 1404,1116,15
395,175,20060601 1405,1027,11
172,297,20060601 1406,1094,29
111,41,20060601 1407,1022,29
131,11,20060601 1409,1162,22
167,236,20060601 1409,1425,15
126,213,20060601 1411,1324,8
374,157,20060601 1412,1598,13
351,44,20060601 1413,693,28
162,17,20060601 1416,536,30
224,34,20060601 1416,1051,24
13,394,20060601 1418,834,13
157,61,20060601 1419,973,1
338,332,20060601 1419,1721,15
71,5,20060601 1420,679,28
94,1,20060601 1420,1397,6
178,133,20060601 1420,1539,11
383,92,20060601 1420,1284,10
23,115,20060601 1421,1449,11
114,87,20060601 1423,432,1
20,223,20060601 1424,1604,30
31,5,20060601 1425,905,30
71,224,20060601 1425,881,28
187,66,20060601 1425,1115,30
264,54,20060601 1426,717,29
27,257,20060601 1427,930,25
217,129,20060601 1428,745,6
337,41,20060601 1428,930,28
396,81,20060601 1432,1679,18
20,132,20060601 1433,828,30
133,178,20060601 1437,1141,13
11,29,20060601 1438,1179,30
337,41,20060601 1438,1264,28
293,305,20060601 1439,1415,22
104,83,20060601 1440,1176,26
243,320,20060601 1440,1198,1
384,189,20060601 1440,562,29
350,19,20060601 1441,985,24
27,392,20060601 1443,1113,25
133,70,20060601 1444,1215,13
365,62,20060601 1446,1429,21
240,95,20060601 1447,1195,30
20,66,20060601 1448,644,30
246,16,20060601 1448,1283,17
320,369,20060601 1448,333,28
7,108,20060601 1450,1198,29
168,2,20060601 1450,1055,22
22,19,20060601 1452,833,24
296,217,20060601 1452,1036,11
321,3,20060601 1452,938,16
24,78,20060601 1453,658,30
378,0,20060601 1453,850,30
386,247,20060601 1453,1439,11
259,148,20060601 1454,931,30
336,6,20060601 1455,628,30
76,52,20060601 1456,790,29
110,117,20060601 1456,1082,30
220,186,20060601 1456,965,24
320,243,20060601 1456,1350,28
382,17,20060601 1458,1484,15
330,275,20060601 1500,1139,27
354,25,20060601 1500,901,30
109,0,20060601 1501,845,11
266,190,20060601 1501,1129,11
294,87,20060601 1501,1714,22
53,36,20060601 1502,879,28
299,52,20060601 1504,452,29
126,42,20060601 1505,1150,8
272,251,20060601 1505,1092,11
162,207,20060601 1507,1458,30
252,49,20060601 1507,704,29
278,239,20060601 1507,989,23
287,213,20060601 1507,1220,11
321,3,20060601 1507,954,16
282,13,20060601 1508,797,19
112,341,20060601 1509,1356,18
216,1,20060601 1509,1400,29
170,270,20060601 1510,879,23
337,41,20060601 1510,1279,28
363,380,20060601 1513,1294,29
121,8,20060601 1517,1069,28
38,1,20060601 1518,1089,1
48,395,20060601 1518,1225,28
338,158,20060601 1522,614,15
338,158,20060601 1522,899,15
3,31,20060601 1526,1193,30
250,13,20060601 1526,362,29
366,30,20060601 1526,1148,7
312,275,20060601 1527,1033,29
123,212,20060601 1528,617,25
86,1,20060601 1529,1069,7
341,357,20060601 1529,1197,20
295,3,20060601 1530,1410,30
368,196,20060601 1530,1788,11
292,1,20060601 1531,1166,13
180,93,20060601 1532,1429,10
67,19,20060601 1533,1468,16
274,172,20060601 1533,1660,10
2,34,20060601 1534,549,11
103,137,20060601 1534,1017,18
359,118,20060601 1534,1170,21
347,113,20060601 1535,1800,22
11,29,20060601 1536,1499,30
95,240,20060601 1536,1460,27
144,149,20060601 1536,927,17
265,32,20060601 1538,1240,29
45,4,20060601 1539,680,27
53,36,20060601 1539,519,28
156,101,20060601 1540,1012,20
332,0,20060601 1540,755,11
97,20,20060601 1541,1048,22
129,21,20060601 1541,1529,28
305,102,20060601 1541,1343,6
28,239,20060601 1542,1046,22
235,161,20060601 1542,252,23
228,3,20060601 1543,1268,13
372,66,20060601 1545,998,27
168,130,20060601 1547,1210,22
285,8,20060601 1547,1511,30
180,5,20060601 1551,1342,10
277,9,20060601 1551,901,28
218,15,20060601 1552,1067,30
221,174,20060601 1552,1346,20
310,54,20060601 1554,1260,20
40,19,20060601 1556,1068,24
85,156,20060601 1557,993,30
284,260,20060601 1557,1394,22
314,250,20060601 1557,793,17
176,54,20060601 1558,1247,18
378,275,20060601 1559,977,30
395,48,20060601 1601,898,11
199,13,20060601 1602,923,14
60,55,20060601 1605,1207,20
260,24,20060601 1605,1241,28
275,51,20060601 1605,1029,30
76,71,20060601 1607,1678,29
85,86,20060601 1607,898,30
15,297,20060601 1609,1058,7
22,26,20060601 1609,1297,24
152,69,20060601 1611,878,29
9,74,20060601 1612,923,25
69,387,20060601 1613,838,17
73,37,20060601 1613,1505,21
220,186,20060601 1614,1139,24
172,375,20060601 1615,1410,29
131,11,20060601 1616,783,22
29,188,20060601 1617,800,25
130,168,20060601 1617,1384,28
114,5,20060601 1618,1463,30
73,122,20060601 1619,1138,21
92,383,20060601 1620,1330,30
326,90,20060601 1620,266,18
71,82,20060601 1621,1397,29
395,175,20060601 1621,584,11
44,7,20060601 1622,1189,21
227,1,20060601 1626,1458,29
243,320,20060601 1626,1011,1
310,61,20060601 1626,1076,29
264,229,20060601 1628,1373,29
3,208,20060601 1629,1288,30
180,5,20060601 1629,1220,10
95,19,20060601 1632,944,27
43,127,20060601 1633,747,15
53,36,20060601 1639,1231,28
223,160,20060601 1639,1445,30
224,34,20060601 1639,794,24
50,34,20060601 1642,896,11
174,158,20060601 1642,931,2
104,83,20060601 1643,918,26
187,66,20060601 1644,1236,30
194,291,20060601 1644,1041,19
317,379,20060601 1646,1597,30
376,20,20060601 1647,789,13
119,259,20060601 1649,1082,20
221,174,20060601 1649,1247,20
305,293,20060601 1651,1105,6
361,189,20060601 1652,1481,28
255,87,20060601 1654,1091,28
348,5,20060601 1656,984,23
94,362,20060601 1657,527,6
346,120,20060601 1659,1296,28
172,1,20060601 1700,747,29
363,380,20060601 1700,982,29
87,255,20060601 1701,1188,11
385,179,20060601 1704,1064,6
143,52,20060601 1706,908,28
84,2,20060601 1710,980,11
130,14,20060601 1711,975,28
167,1,20060601 1711,1468,15
247,103,20060601 1711,974,25
315,32,20060601 1711,1427,29
121,8,20060601 1714,1391,28
286,92,20060601 1717,1840,11
324,18,20060601 1717,810,22
196,1,20060601 1718,818,11
0,48,20060601 1720,1476,7
383,92,20060601 1720,1259,10
180,5,20060601 1721,951,10
260,299,20060601 1721,1148,29
57,61,20060601 1722,965,11
161,235,20060601 1722,1079,30
272,215,20060601 1725,564,11
41,280,20060601 1726,854,28
91,185,20060601 1726,1136,30
213,126,20060601 1726,993,25
7,238,20060601 1728,1786,29
321,3,20060601 1728,968,16
18,249,20060601 1729,1306,21
116,16,20060601 1729,389,30
146,322,20060601 1729,1042,1
224,34,20060601 1729,1007,24
295,26,20060601 1729,1174,30
104,11,20060601 1730,1790,26
265,24,20060601 1731,540,29
73,41,20060601 1732,1639,21
258,34,20060601 1735,1066,29
396,81,20060601 1735,1044,18
334,1,20060601 1736,814,11
16,246,20060601 1738,1258,11
295,3,20060601 1738,1000,30
21,129,20060601 1742,1079,28
47,206,20060601 1742,1200,28
363,42,20060601 1742,1464,29
69,387,20060601 1743,844,17
350,19,20060601 1743,1091,24
241,80,20060601 1745,1352,28
176,148,20060601 1747,1192,18
14,335,20060601 1748,455,18
311,1,20060601 1748,1015,25
96,292,20060601 1750,666,6
167,290,20060601 1751,1066,15
215,93,20060601 1751,1072,29
394,199,20060601 1751,1243,10
130,14,20060601 1753,1399,28
287,213,20060601 1753,1003,11
335,65,20060601 1753,845,10
284,2,20060601 1757,1079,22
221,174,20060601 1758,1183,20
82,49,20060601 1801,900,13
135,12,20060601 1801,937,13
213,287,20060601 1801,978,8
282,13,20060601 1801,483,14
299,52,20060601 1801,1617,16
191,178,20060601 1802,1400,22
256,134,20060601 1802,1375,14
198,308,20060601 1803,1722,19
241,23,20060601 1804,1222,28
82,71,20060601 1805,508,15
95,7,20060601 1806,847,11
50,0,20060601 1807,1034,15
164,55,20060601 1807,553,11
257,27,20060601 1809,1633,11
78,331,20060601 1812,1104,4
2,54,20060601 1815,1051,29
87,103,20060601 1815,1108,15
248,0,20060601 1817,1204,16
377,92,20060601 1817,979,13
40,19,20060601 1818,1164,1
175,158,20060601 1819,1293,30
242,46,20060601 1820,869,29
57,61,20060601 1825,1078,15
219,146,20060601 1826,1397,21
303,131,20060601 1827,1046,26
247,261,20060601 1828,1073,2
256,134,20060601 1828,1070,14
374,13,20060601 1828,1205,13
369,320,20060601 1831,1060,22
102,75,20060601 1832,419,13
142,81,20060601 1832,914,29
307,84,20060601 1835,795,7
108,13,20060601 1836,1158,9
202,323,20060601 1836,723,22
246,5,20060601 1836,636,17
267,231,20060601 1837,1022,15
313,97,20060601 1837,723,13
128,75,20060601 1839,1378,11
97,211,20060601 1841,1417,22
323,367,20060601 1841,973,10
228,92,20060601 1842,1461,2
162,17,20060601 1843,1216,30
248,7,20060601 1844,1524,16
137,286,20060601 1845,558,11
255,87,20060601 1846,592,4
135,0,20060601 1848,704,13
135,0,20060601 1848,1117,13
211,97,20060601 1848,1133,15
364,260,20060601 1850,1246,1
188,70,20060601 1851,1561,29
266,30,20060601 1851,1014,11
388,19,20060601 1851,736,15
265,24,20060601 1853,760,9
256,1,20060601 1854,1127,14
273,162,20060601 1854,1426,29
46,242,20060601 1855,861,30
295,3,20060601 1856,1112,6
49,192,20060601 1857,921,13
366,5,20060601 1858,1090,23
16,166,20060601 1901,1116,11
31,396,20060601 1901,822,9
91,365,20060601 1901,1604,30
55,13,20060601 1904,914,27
23,122,20060601 1905,1186,29
189,384,20060601 1905,788,29
139,318,20060601 1906,1118,1
18,249,20060601 1908,1058,4
289,2,20060601 1908,502,4
277,220,20060601 1910,875,16
211,15,20060601 1912,1006,22
144,149,20060601 1914,626,17
206,7,20060601 1916,1616,21
354,25,20060601 1918,936,30
199,282,20060601 1919,764,22
341,357,20060601 1919,1297,21
128,75,20060601 1920,849,11
394,199,20060601 1920,1035,11
274,172,20060601 1921,1201,9
13,236,20060601 1922,1790,11
235,161,20060601 1922,1567,25
255,87,20060601 1923,1715,4
378,275,20060601 1923,1546,30
12,3,20060601 1925,1265,11
213,126,20060601 1925,738,8
273,0,20060601 1926,1042,29
67,19,20060601 1928,583,16
289,45,20060601 1929,989,4
382,17,20060601 1931,960,29
182,38,20060601 1932,681,13
332,338,20060601 1932,1113,12
349,23,20060601 1933,1227,1
111,41,20060601 1934,950,29
190,170,20060601 1934,1265,9
222,24,20060601 1934,1052,30
19,20,20060601 1935,767,30
308,175,20060601 1935,631,16
365,91,20060601 1935,451,15
322,1,20060601 1936,1418,25
80,112,20060601 1939,1218,12
197,4,20060601 1939,863,29
233,53,20060601 1941,1313,15
188,29,20060601 1942,1088,10
44,351,20060601 1945,1458,25
127,43,20060601 1945,733,3
284,2,20060601 1945,1029,19
51,275,20060601 1948,1145,16
54,144,20060601 1948,1121,29
96,359,20060601 1948,580,19
112,341,20060601 1950,1067,7
269,240,20060601 1951,1192,23
27,3,20060601 1952,987,8
320,369,20060601 1952,1616,16
389,344,20060601 1952,781,13
313,97,20060601 1953,880,13
358,30,20060601 1954,888,30
113,5,20060601 1956,1470,15
44,163,20060601 1957,1074,25
176,54,20060601 1957,1277,15
231,47,20060601 1957,1512,13
12,0,20060601 1958,705,29
69,2,20060601 1959,783,7
60,55,20060601 2000,1469,15
343,52,20060601 2003,1232,9
124,2,20060601 2005,1295,1
173,120,20060601 2005,1303,20
182,13,20060601 2005,1068,27
112,341,20060601 2007,473,18
240,251,20060601 2007,1497,17
369,174,20060601 2007,-2,25
378,275,20060601 2007,1206,30
31,396,20060601 2008,424,9
59,11,20060601 2008,1162,15
210,49,20060601 2009,1004,11
108,7,20060601 2010,1112,9
200,5,20060601 2010,990,13
18,324,20060601 2013,765,4
145,1,20060601 2014,1211,12
78,52,20060601 2017,826,16
206,47,20060601 2021,945,21
278,239,20060601 2021,1135,17
69,387,20060601 2026,1256,7
70,177,20060601 2026,1045,22
273,0,20060601 2026,689,29
274,172,20060601 2030,1455,9
233,53,20060601 2032,741,15
3,31,20060601 2034,1190,10
362,1,20060601 2034,972,9
349,23,20060601 2035,1036,1
17,339,20060601 2039,925,15
170,3,20060601 2039,1251,25
6,160,20060601 2040,709,16
137,262,20060601 2040,1064,15
259,148,20060601 2041,745,12
94,46,20060601 2042,1386,22
118,40,20060601 2045,258,6
284,260,20060601 2045,1095,19
170,5,20060601 2046,605,25
330,325,20060601 2047,1143,12
174,158,20060601 2051,1437,30
267,387,20060601 2052,809,15
314,5,20060601 2052,1227,27
27,392,20060601 2053,1103,8
172,1,20060601 2058,1259,9
247,103,20060601 2058,1695,2
173,120,20060601 2059,665,15
9,5,20060601 2102,1146,17
71,25,20060601 2102,866,28
143,117,20060601 2102,620,12
178,133,20060601 2102,1137,9
191,178,20060601 2102,1542,22
387,69,20060601 2102,1459,19
386,179,20060601 2104,1637,11
184,5,20060601 2106,1340,2
242,1,20060601 2106,1092,9
48,154,20060601 2110,1404,28
194,291,20060601 2114,848,14
223,160,20060601 2115,443,15
59,18,20060601 2116,535,15
95,240,20060601 2116,903,11
388,34,20060601 2117,977,11
139,3,20060601 2120,850,1
43,14,20060601 2124,788,24
142,18,20060601 2124,1075,11
305,350,20060601 2124,1506,6
73,122,20060601 2129,1432,21
332,0,20060601 2129,1115,12
336,6,20060601 2129,1273,30
76,71,20060601 2133,992,29
293,37,20060601 2133,800,22
189,384,20060601 2135,492,11
14,128,20060601 2136,1218,10
82,71,20060601 2136,1005,13
56,1,20060601 2139,527,22
135,0,20060601 2139,1428,13
281,137,20060601 2139,914,29
396,31,20060601 2139,719,18
260,299,20060601 2141,487,29
198,9,20060601 2145,1094,19
107,5,20060601 2146,1042,19
174,44,20060601 2148,838,30
133,178,20060601 2150,1183,22
